	Tweets	Date	Source	Likes	RTs
39	I still can’t believe we lost Stan Lee and Stephen Hillenburg in the same month. RIP. #StanLeeForever #stephenhillenberg	2018-11-28 16:41:41	Twitter for iPhone	0	0
40	@den_down_unda Look at this guy pretending he won’t be crying with the rest of us when Stan Lee shows up in CAPTAIN MARVEL.	2018-11-28 16:41:11	Twitter Lite	0	0
41	Comic legend Stan Lee's cause of death confirmed as organ failure, pneumonia Comic legend Stan Lee's cause of death… https://t.co/SMlbMreUhu	2018-11-28 16:41:00	Twitter Web Client	0	1
42	What Stan Lee Knew About Managing Creative People https://t.co/Fqb6eyNSi1	2018-11-28 16:40:22	Smarp.	0	0
43	It was comforting to see a new Spider-Man movie after losing Stan Lee and Steve Ditko months apart. #SpiderVerse in… https://t.co/MTNZApwfZf	2018-11-28 16:39:57	Twitter Web Client	13	2
44	Yeah Stan Lee’s death was sad yeah stephen hillenburg death was sad but when cleo died in set of off no pain can match that hurt	2018-11-28 16:39:29	Twitter for iPhone	1	0
45	Gosh 2018, how many great people are you going to take away? Taking away Stephen Hawking and Stan Lee wasn’t enough… https://t.co/IBsTf75rm3	2018-11-28 16:39:24	Twitter for iPhone	0	0
46	Stan Lee been dead for 2 weeks the impact man https://t.co/NvMzqUAmOn	2018-11-28 16:38:57	Twitter for iPhone	0	0
47	My family and I have been spending a number of hours watching Stan Lee's brilliance with more videos to watch --- W… https://t.co/3YiLtAmVnO	2018-11-28 16:37:31	Twitter Web Client	0	0
48	I know Thanksgiving was last week, but I'm thankful for all the folks who helped bring Marvel Action: Spider-Man #1… https://t.co/V30EhQ8u40	2018-11-28 16:36:31	TweetDeck	6	2
49	@_Bongz_RM you were worrying me there chief. I was gonna say Stan Lee didn't die for you to speak so reckless😂😂😂	2018-11-28 16:36:30	Twitter Web Client	0	0
50	@THR @billmaher Who even still watches this asshat's show?? He's not even relevant anymore. Must be a lot of uninte… https://t.co/wbMKqVwpyc	2018-11-28 16:36:05	Twitter Web Client	0	0
